-81,MARTEL,Xavier,Samoa,LUCAS,Toanui,French Polynesia,1,2
-81,NAULU,Josateki,Fiji,ZELLNER,Ben,Australia,2,1
-81,LUCAS,Toanui,French Polynesia,BERGER,Jonathan,New Caledonia,1,2
-81,IVERSON,Brent,Australia,BREWER,Mark,New Zealand,2,1
-90,SLYFIELD,Tim,New Zealand,OTCENASEK,Anavai,French Polynesia,2,1
-90,FOGAGNOLO,Priscus,Australia,DILL-RUSSELL,Ryan,New Zealand,1,2
-90,ANTHONY,Mark,Australia,SLYFIELD,Tim,New Zealand,2,1
-90,DILL-RUSSELL,Ryan,New Zealand,CHEVALIER,David,French Polynesia,2,1
-90,OTCENASEK,Anavai,French Polynesia,CHEVALIER,David,French Polynesia,1,2
-90,FOGAGNOLO,Priscus,Australia,SLYFIELD,Tim,New Zealand,2,1
-90,ANTHONY,Mark,Australia,DILL-RUSSELL,Ryan,New Zealand,2,1
-100,KELLY,Daniel,Australia,PAPAI,Jerome,New Caledonia,2,1
-100,KOSTER,Jason,New Zealand,DIDIER,Duke,Australia,2,1
-100,PAPAI,Jerome,New Caledonia,DIDIER,Duke,Australia,1,2
-100,KELLY,Daniel,Australia,KOSTER,Jason,New Zealand,2,1
p100,PICARD,Jeremy,French Polynesia,ANDREWARTHA,Jake,Australia,2,1
p100,PICARD,Jeremy,French Polynesia,COURTINE,Stephane,New Caledonia,1,2
p100,ANDREWARTHA,Jake,Australia,COURTINE,Stephane,New Caledonia,2,1
p100,PICARD,Jeremy,French Polynesia,COURTINE,Stephane,New Caledonia,2,1
p100,PICARD,Jeremy,French Polynesia,ANDREWARTHA,Jake,Australia,2,1
